"participant","minutes","n_previous_marathons","age","gender","hills","weather"
472,404,9,31,"Female",12,"Cloudy"
543,164,10,30,"Male",8,"Sunny"
474,128,9,19,"Female",9,"Sunny"
291,215,5,7,"Female",7,"Sunny"
357,330,8,45,"Female",12,"Sunny"
188,244,7,29,"Female",10,"Sunny"
304,243,9,20,"Male",15,"Cloudy"
508,394,7,57,"Male",9,"Cloudy"
87,300,13,40,"Female",11,"Heavy Rain"
60,339,6,61,"Male",9,"Sunny"
360,255,10,36,"Female",8,"Cloudy"
248,312,12,41,"Female",11,"Cloudy"
410,303,8,42,"Female",10,"Cloudy"
571,216,7,24,"Male",7,"Sunny"
345,303,7,31,"Female",11,"Cloudy"
591,253,7,25,"Female",4,"Sunny"
367,386,5,37,"Female",9,"Sunny"
340,211,13,30,"Female",13,"Sunny"
567,302,6,16,"Female",13,"Sunny"
136,370,8,24,"Female",-999,"Cloudy"
126,93,13,30,"Female",11,"Sunny"
175,258,8,33,"Male",4,"Light Rain"
499,238,8,37,"Male",8,"Light Rain"
389,365,4,32,"Female",5,"Cloudy"
546,275,12,35,"Female",8,"Cloudy"
432,318,7,44,"Male",7,"Sunny"
328,351,3,24,"Female",8,"Sunny"
258,332,6,30,"Male",5,"Cloudy"
20,308,12,44,"Female",17,"Light Rain"
545,313,9,41,"Female",10,"Cloudy"
351,310,4,16,"Female",10,"Cloudy"
452,350,6,34,"Male",5,"Sunny"
489,393,6,16,"Male",11,"Sunny"
461,216,13,40,"Male",-999,"Sunny"
28,291,7,41,"Male",12,"Cloudy"
133,408,8,38,"Female",8,"Heavy Rain"
31,310,12,45,"Male",7,"Sunny"
566,356,8,61,"Female",6,"Light Rain"
167,345,9,42,"Female",13,"Cloudy"
115,259,8,31,"Male",9,"Cloudy"
229,374,8,39,"Female",13,"Cloudy"
131,294,8,33,"Female",8,"Sunny"
544,312,5,36,"Male",15,"Sunny"
555,453,7,58,"Female",15,"Light Rain"
202,124,12,25,"Female",8,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
187,358,5,44,"Female",13,"Sunny"
125,420,6,28,"Female",11,"Light Rain"
57,345,4,39,"Male",12,"Sunny"
455,401,5,33,"Female",6,"Cloudy"
434,217,15,49,"Male",6,"Cloudy"
158,225,5,30,"Male",5,"Sunny"
597,378,7,37,"Female",10,"Sunny"
420,451,2,39,"Female",6,"Cloudy"
538,354,9,27,"Male",14,"Cloudy"
106,240,10,18,"Female",7,"Sunny"
120,336,6,29,"Female",8,"Sunny"
293,485,3,43,"Female",10,"Cloudy"
512,398,4,19,"Female",11,"Sunny"
112,387,6,38,"Female",9,"Cloudy"
260,227,10,29,"Male",15,"Light Rain"
262,302,10,41,"Male",9,"Sunny"
407,302,8,38,"Female",8,"Cloudy"
221,443,5,45,"Male",7,"Sunny"
27,349,7,34,"Female",8,"Sunny"
